code,short_name,academic_year,issue
N02,山北,111,Note 1(六) prints a single combined figure — 「核定及實際招收總人數：90 名」 — not separate 核定/實際 values; both approved_capacity and actual_enrolment therefore recorded as 90 from that one statement.
N02,山北,111,"The 收支餘絀表 has no line captioned 本期餘絀; it prints 本期稅前餘絀 and 本期稅後餘絀. 所得稅費用 is blank this year, so both equal 決算 413,861, which agrees with 資產負債表 本期餘絀 413,861."
N02,山北,111,"預算數 is blank (dash) for 教保費收入減項, 延後托育收入淨額, 利息收入, 其他收入, 業務發展費, 延後托育支出, 其他支出 and 所得稅費用 — recorded as null (no appropriation), not 0. Notably 業務發展費 has 決算 620,000 against a blank 預算數."
N02,山北,111,"執行率 is blank for 收入合計, 支出合計, 本期稅前餘絀, 所得稅費用 and 本期稅後餘絀 — recorded as null."
N02,山北,111,"資產負債表 其他流動資產 (current column) and 應付票據 (printed 「$ -」) are blank, as is 預付款項 in the prior-year sense; treated as blank, not 0. (Not requested fields, noted for completeness.)"
N02,山北,111,A 關防 red seal overlaps the title/date block on p05 and p06 and the column headers on p05. Red-channel separation rendered the black text fully legible; no figure cells were obscured by the seal.
N02,山北,111,No unreadable digits. All figures were re-read at 4x magnification on the isolated current-period columns and cross-checked arithmetically.
N02,山北,112,附註一（六）僅印「核定及實際招收總人數：90名」的合併數字，未分列核定與實際招收人數；approved_capacity 與 actual_enrolment 均依該合併陳述填90。
N02,山北,112,"收支餘絀表無單一「本期餘絀」列，改列「本期稅前餘絀」／「所得稅費用」／「本期稅後餘絀」；所得稅費用的預算數、決算數與執行率均為破折號，故填null。本期稅後餘絀-348,840元與資產負債表及p08淨值變動表一致。"
N02,山北,112,"來源合規為false：p33經費流用及勾支檢查表項次66「本學期（學年度）結算總收入是否大於或等於總支出」勾選「是」，但同列差額為(348,840)元，且主表收入13,850,855元小於支出14,199,695元；p34亦明載本學年度虧損348,840元。這是來源文件內部自相矛盾，不是抽取判讀。"
N02,山北,112,"p34虧損補充說明記載：本學年度虧損348,840元主要因提列業務發展費1,833,375元，未提列前結餘為1,484,535元。收支餘絀表之業務發展費預算欄為破折號，故budget填null而非0。"
N02,山北,112,"附註五明確揭露受託法人之「其他應付款」為229,600元，故payable_to_operator填229,600；資產負債表的一般「其他應付款」總額1,287,014元包含其他對象，未冒充為受託法人應付款。"
N02,山北,112,"附註三p20–p21之其他收入及其他支出各935,839元，十項葉節明細各自加總均為935,839元；其同額總額列示符合附註二（八）不得收支相抵、應以收入總額入帳之政策，recorded_gross據此填true。"
N02,山北,112,"已完成零差額驗算：流動資產6,167,364元、非流動資產8,057,278元、資產總計14,224,642元、流動負債4,329,155元、非流動負債8,057,278元、負債總額12,386,433元、餘絀總額1,838,209元，以及收入／支出預算與決算合計均吻合；所有表列執行率均與決算數÷預算數四捨五入一致。p09期末現金6,143,624元亦與資產負債表一致。"
N02,山北,112,院所身分與來源已核對：PDF檔名為N02山北_112學年度財務報告，報表表頭為新北市山北非營利幼兒園（委託財團法人三之三生命教育基金會辦理），並與repo官方院所資料一致；p04–p37逐頁頁尾均為N02。p12以後附註僅由本PDF私有渲染至/tmp/extract_N02_山北_112_attempt01後判讀。
N02,山北,113,"附註五關係人交易：113學年度（113.8.1~114.7.31）行政管理費揭露 220,215 元，與收支餘絀表「行政管理費」決算數 222,612 元不同（差 2,397 元）；114/7/31 應付受託法人（其他應付款）215,691 元，亦與當期揭露 220,215 元不同（差 4,524 元）。三處數字互不相同，不屬於全庫已知的「三處吻合」或「揭露＝年末應付」兩種正常型態。對照下，112 學年度揭露 229,600 元＝113/7/31 應付 229,600 元，符合「揭露＝年末應付」型態；僅本（113）學年度出現三處皆不同之情形，建議人工核對受託法人帳務。"
N02,山北,113,附註一（六）將核定與實際招收人數印成合併數字「核定及實際招收總人數：86 名」，未分列。approved_capacity 與 actual_enrolment 均填 86，屬合併陳述而非兩項各自查得之數；如需區分實際招收數，須另向主管機關調閱登記資料。
N02,山北,113,收支餘絀表無單一「本期餘絀」列，改分為「本期稅前餘絀」／「所得稅費用」／「本期稅後餘絀」三列，已照抄未合併。所得稅費用該列預算數、決算數、差異數三欄皆為空白（—），故填 null。
N02,山北,113,"稽查發現（文件本身如此，非判讀問題）：支出面「業務發展費」2,204,787 元、「延長照顧服務支出」106,755 元、「其他支出」1,652,090 元三個科目之預算數欄為空白，即未編列預算而有實際支出，其中業務發展費佔支出決算數 14.5%。此三欄依規範填 null 而非 0。"
N02,山北,113,"稽查發現（文件本身如此）：「修繕購置費」預算 120,400 元、決算 288,508 元，報表自印執行率 240%，超支 168,108 元；「公共事務管理費」執行率僅 16%、「雜支」11%、「維護費」38%，預算與實際執行落差大。支出決算合計 15,191,842 元超出預算合計 12,947,537 元共 2,244,305 元（約 17%），而收入決算 15,866,725 元超出收入預算 1,792,309 元，主要來自未編列預算之「其他收入」1,652,090 元。"
N02,山北,113,"觀察（疑似代收代付對沖，非矛盾）：「其他收入」與「其他支出」同為 1,652,090 元、「延長照顧服務收入淨額」與「延長照顧服務支出」同為 106,755 元，兩組收支金額完全相等，研判係代收代付性質；報表未就此加註說明，如需確認性質建議人工核對附註三。"
N02,山北,113,收入合計、支出合計、本期稅前餘絀、所得稅費用、本期稅後餘絀等合計／小結列之執行率欄在表上均為空白（未印），故填 null，非漏抄。
N02,山北,113,"已完成之交叉驗算全部通過：流動資產合計、非流動資產合計、資產總計、負債總額、餘絀總額、資產總計＝負債總額＋餘絀總額、收入合計、支出合計預算數與決算數、各科目執行率（四捨五入至整數）皆吻合；本期餘絀 674,883 元與 p08 淨值變動表 114/7/31 餘額（累積餘絀 1,838,209、本期餘絀 674,883、合計 2,513,092）一致；p09 現金流量表期末現金 6,615,258 元與資產負債表現金及銀行存款一致。資產面「資遣費準備金」413,891／「業務發展準備金」9,114,885 與負債面「資遣費準備」／「業務發展準備」金額完全相符，無兩面不符情形。"
N02,山北,113,版面說明：本報告共 p04–p11，收支餘絀表有兩頁（p06 為本期 113.8.1~114.7.31、p07 為比較期 112.8.1~113.7.31），已取 p06；資產負債表 p05 取左側 114/7/31 本期欄。紅色關防壓住 p05、p06 表頭，經 max-of-RGB 色彩通道分離後表頭文字清晰可讀，無因關防而無法辨識之欄位。
N03,龍埔成長,110,"行政管理費：收支餘絀表（p6）110.8.1~111.7.31 決算數為 117,840 元（預算數同額，執行率100%），但附註五（p21）揭露支付予受託法人財團法人成長文教基金會之『行政管理費』僅 46,988 元，同一份報告內兩處金額不符，差額 70,852 元。比較欄（109.8.1~110.7.31）同樣有此落差：收支餘絀表決算數 117,840 元 vs 附註五揭露 101,761 元，差額 16,079 元。附註五未說明差額去向或性質，兩處金額皆已放大裁切核對清晰，非誤讀。（本園 113 學年度報告亦有同型態落差，惟金額較小：182,054 元 vs 179,804 元，差 2,250 元——可能為契約規定之行政管理費上限與實際撥付／認列金額間的落差，逐年幅度不一，建議人工調閱契約條款與逐年明細覆核。）"
N03,龍埔成長,110,"資產負債表其他應付款（流動負債，111/7/31）合計 831,812 元，附註五僅揭露其中 46,988 元為應付受託法人款項，其餘 784,824 元對象未在附註五列示；因其他應付款通常包含一般廠商應付款等非關係人項目，此點屬正常，僅供覆核參考，未列為異常。"
N03,龍埔成長,111,"行政管理費：收支餘絀表（p6）111.8.1~112.7.31 決算數為117,840元（預算數同額，執行率100%），但附註五（p21）揭露支付予受託法人財團法人成長文教基金會之『行政管理費』為空白（$-），本期完全未揭露對應金額；比較欄（110.8.1~111.7.31）收支餘絀表決算數同為117,840元，附註五揭露卻為46,988元，兩期皆與收支餘絀表金額不符，屬本份報告內部前後矛盾。本園110、113學年度報告之附註五亦有同型態落差（110學年度：117,840 vs 46,988；113學年度：182,054 vs 179,804），落差金額逐年不同。兩處金額已放大裁切核對清晰，非誤讀，請人工調閱契約條款覆核『行政管理費』於附註五與收支餘絀表分別代表之交易性質是否本即不同。"
N03,龍埔成長,111,"附註五(二)2.其他應收款揭露之關係人餘額（112年7月31日 $72,664）與資產負債表『其他應收款』總額（73,304）有640元差距；因總額可能含關係人以外之應收項目，此差距屬合理範圍，僅供覆核參考，未列為異常。"
N03,龍埔成長,112,頁面 provenance：已逐頁核對指定頁圖 p04至p16 頁尾代號均為 N03；資產負債表 N03-5、收支餘絀表 N03-6、現金流量表 N03-9、附註一 N03-10。附註三及附註五超出既有頁圖後，僅由同一指定 PDF 定位並高解析渲染必要頁至 /tmp/extract_N03_龍埔成長_112_attempt01：附註三明細 N03-20至N03-21、附註五 N03-22，頁尾均為 N03。
N03,龍埔成長,112,"資產負債表算術：流動資產6,441,870與非流動資產7,034,223合計13,476,093；流動負債3,552,394與非流動負債7,027,023合計10,579,417；13,476,093 = 10,579,417 + 2,896,676；2,896,676 = 2,645,942 + 250,734。"
N03,龍埔成長,112,"收支餘絀表算術：收入明細決算合計14,144,106；支出明細決算合計13,893,372；差額250,734與本期稅前／稅後餘絀及資產負債表本期餘絀相符；收入預算10,429,560、支出預算10,698,903亦與表列合計相符。"
N03,龍埔成長,112,列印執行率與重算相符：教保費收入97%、人事費63%、業務費85%、材料費96%、維護費90%、修繕購置費84%、雜支18%、行政管理費100%。
N03,龍埔成長,112,"現金流量表 N03-9 期末現金及約當現金6,426,739，與資產負債表現金及銀行存款相符。"
N03,龍埔成長,112,附註一 N03-10 將核定及實際招收總人數合併陳述為90名，因此 approved_capacity 與 actual_enrolment 均按來源填90；同頁員工12人，其中教保人員9人。
N03,龍埔成長,112,"附註三 N03-20至N03-21 的12筆明細收入合計3,721,263，支出亦合計3,721,263，與收支餘絀表其他收入／其他支出各3,721,263相符；淨額欄均為破折號，因此 recorded_gross=true。"
N03,龍埔成長,112,"來源文件事實／check_report false：附註五 N03-22 揭露支付受託法人之行政管理費36,682，且年末其他應付款同為36,682；收支餘絀表 N03-6 行政管理費決算數為117,840，兩者相差81,158。保留兩處來源原值，未為使檢核通過而改寫。"
N03,龍埔成長,112,空白／破折號依規範轉為null：未編列預算之收入減項、延長照顧服務收入淨額、利息收入、其他收入、業務發展費、延長照顧服務支出、其他支出，以及所得稅費用預算／決算；附註五113年7月31日其他應收款亦為破折號。
N03,龍埔成長,113,"收支餘絀表 has no line literally labelled 本期餘絀; it is split into 本期稅前餘絀 / 所得稅費用 / 本期稅後餘絀. All three are recorded verbatim, not merged. 本期稅後餘絀 決算數 -760,073 is the figure that matches 資產負債表 本期餘絀 (760,073)."
N03,龍埔成長,113,"AUDIT FINDING — unbudgeted 業務發展費: 決算數 1,699,800 against a blank 預算數 (printed as a dash, recorded null not 0). This one unappropriated line exceeds the entire 760,073 deficit; without it the year would show a 939,727 surplus. It runs alongside an 837,653 underspend on the budgeted 人事費 (附註三 detail: 加班費 決算 346,009 vs 預算 716,832 = 48%; 代課費及代班費 決算 1,800 vs 預算 162,000 = 1%). A human should check whether budgeted personnel money was effectively redirected into the 業務發展準備 provision."
N03,龍埔成長,113,"No 預算數 appropriated (printed as a dash, recorded null not 0) for: 教保費收入減項 (決算數 -306,130), 延長照顧服務收入淨額 (186,132), 利息收入 (85,197), 其他收入 (948,203), 業務發展費 (1,699,800), 延長照顧服務支出 (185,752), 其他支出 (948,203). 所得稅費用 is blank in both 預算數 and 決算數."
N03,龍埔成長,113,"執行率 is printed blank on 收入合計, 支出合計, 本期稅前餘絀, 所得稅費用 and 本期稅後餘絀 (the table only rates individual 科目), and as a dash on every line with no 預算數 — all recorded null. Every printed 執行率 was recomputed from 決算數/預算數 and matches the table's rounding exactly; there is no 1-元 or 1-% rounding drift anywhere in this report."
N03,龍埔成長,113,"附註一(六) prints 核定及實際招收總人數 as「分別為 72 名及 71 名」— two distinct figures, so this is NOT the merged single-figure variant; approved_capacity 72 and actual_enrolment 71 are separately stated in the document."
N03,龍埔成長,113,"A red 關防 seal overlaps the title block of p05, p06, p08 and p09. Red-channel separation made the underlying black text fully legible: p05 left column = 114年7月31日 (right column 113年7月31日 is the comparative and was not used); p06 = 113.8.1~114.7.31 (the 本期 page; p07 is the 112.8.1~113.7.31 comparative). No residual ambiguity, no value recorded from a low-resolution read — every figure was confirmed from a 400-dpi re-render of the source PDF."
N03,龍埔成長,113,"All self-verification arithmetic passes with zero tolerance. 流動資產合計 6,167,351 = sum of items; 資產總計 14,987,068 = 6,167,351 + 8,819,717 = 負債總額 12,850,465 + 餘絀總額 2,136,603; 餘絀總額 = 2,896,676 + (760,073); 流動負債合計 4,037,948 and 非流動負債合計 8,812,517 = sums of items; 收入合計 12,844,402 and 支出合計 13,604,475 = sums of 決算數; budget columns likewise (11,732,256 and 11,803,649)."
N03,龍埔成長,113,"Cross-validated against four further sources inside the report, all consistent: 淨值變動表 (p08) 114年7月31日餘額 2,896,676 / (760,073) / 2,136,603; 現金流量表 (p09) 期末現金 6,149,763 = 資產負債表 現金及銀行存款, 期初 6,426,739, and the full operating reconciliation ties to the 元; 附註三 detail totals equal the 收支餘絀表 決算數 for 人事費, 業務費, 材料費, 維護費, 修繕購置費, 延長照顧服務收支 and 其他收入/其他支出, and 現金明細 (現金 16,650 + 活期存款 6,100,845 + 支票存款 32,268) = 6,149,763; 附註四 賸餘款餘額 2,136,603 = 餘絀總額."
N03,龍埔成長,113,"No reserve-fund mismatch in this report: 資遣費準備金 (asset) = 資遣費準備 (liability) = 428,137, and 業務發展準備金 (asset) = 業務發展準備 (liability) = 7,629,301. Both agree with the 附註三 movement schedules (資遣費 374,643 + 53,494 提列 = 428,137; 業務發展 5,929,501 + 1,699,800 提列 = 7,629,301) and 附註三 confirms the 業務發展準備金 7,629,301 is held in a dedicated 專戶/定期存款."
N03,龍埔成長,113,"balance_sheet.prepaid_receipts is the liability 預收款項 2,720,064. The asset side separately carries a similarly named 預付款項 (prepaid expenses) of 3,557 — not used for this field."
N03,龍埔成長,113,"Document observation, not an extraction error, worth a human look: 附註五 related-party disclosure shows 行政管理費 paid to the operator 財團法人成長文教基金會 of 179,804 for 113.8.1~114.7.31, while 收支餘絀表 行政管理費 決算數 is 182,054 — a 2,250 gap. The note covers only related-party transactions so the two need not agree, but the residual 2,250 has no stated counterparty. Note also the operator's related-party 行政管理費 jumped from 36,682 (112學年度) to 179,804."
N03,龍埔成長,113,"Overspend disclosures inside 附註三 worth a human look: 業務費 detail shows 水費 決算 40,857 vs 預算 26,000 (157%) and 電費 98,630 vs 預算 90,000 (110%). The report states the 水費 overspend of 14,857 was reported to and agreed by the 主管機關 on 114年9月26日 — i.e. the approval was obtained after the 114/7/31 year end."
N03,龍埔成長,113,"Provenance check performed because a first low-resolution read of the p05/p06 title block misread the institution as 新北市北大非營利幼兒園 (N07's operator). That was a misread, not a mis-filed PDF: at 400 dpi the title block, the cover text layer, 目錄, and every statement and note page of N03龍埔成長_113學年度財務報告.pdf all read 新北市龍埔成長非營利幼兒園（委託財團法人成長文教基金會辦理）, and the rendered p04-p11 images hash-match a fresh render of that PDF. Pages were confirmed against 目錄 (p02): 資產負債表 5, 收支餘絀表 6, 淨值變動表 8, 現金流量表 9, 財務報表附註 / 一、一般概況 10."
N04,海工,110,"附註三(二)1.資遣費準備移動表顯示，110年7月31日（比較欄）負債面「資遣費準備」期末餘額為87,806元，但同表下方依規定另列之資產面「資遣費準備金」（應以專戶或定期存款儲存）110年7月31日餘額僅84,489元，兩者差3,317元；依附註二(四)「基金數額應與非流動負債數額相符」之會計政策，資產面與負債面理應相等。現金流量表109.8.1~110.7.31期間「資遣費準備淨變動」列示+3,317、110.8.1~111.7.31期間列示-3,317，恰為此差額之逆轉。至111年7月31日（本學年度期末，本報告主要欄）資產面與負債面已一致（均為113,473元），本學年度數字本身無誤，僅記錄報告自身揭露之歷史性不一致，供人工複核前期資料。"
N04,海工,110,"現金流量表110.8.1~111.7.31期間「業務發展準備淨變動」（營業活動調整項目）列示為「-」，「投資活動之淨現金流入」亦列示為「-」；但同期資產負債表非流動資產「業務發展準備金」由1,738,000元增加336,000元至2,074,000元，且附註二(五)明定業務發展準備金應「以專戶或定期存款方式儲存」。現金流量表未見任何科目反映此336,000元存入專戶之現金流出軌跡（不論列為營業活動之非現金加回項目或投資活動之流出），提列準備之會計分錄與資金實際存入專戶之現金流向未能在報表間相互勾稽，需人工查核銀行專戶或定期存款憑證佐證資金是否確實移轉。"
N04,海工,110,附註一(二)所載許可文號「北府社五字第0910168784號」，與全國教保資訊網機構主檔（kiang.github.io/ap.ece.moe.edu.tw鏡像，data/external/preschools.json）登載之「北府社兒字第0910168784號」，中間局處代字（五／兒）不同；設立日期（91年4月22日）、文號尾碼數字（0910168784）、受託法人名稱（社團法人新北市幼兒成長協會）、核定招收人數（60名）則完全一致。可能為報告或官方主檔其中一方之誤植，建議人工比對正式核准函文確認何者為正，不影響本報告其餘欄位之抽取。
N04,海工,111,"收支餘絀表 has no line printed exactly as 「本期餘絀」; the report prints 「本期稅前餘絀」 and 「本期稅後餘絀」 (both 決算數 = 85,302, 所得稅費用 blank). Labels kept verbatim; 本期稅後餘絀 is the 本期餘絀 equivalent and ties to the balance sheet."
N04,海工,111,"核定招收總人數 and 實際招收總人數 are not stated separately: Note 1 (六) prints a single combined line 「核定及實際招收總人數：60 名」, so both fields are recorded as 60 from that one statement."
N04,海工,111,"Blank 預算數 (printed as a dash, recorded as null, NOT 0): 教保費收入減項, 延後托育收入淨額, 利息收入, 其他收入, 業務發展費, 延後托育支出, 其他支出, 所得稅費用. Notably 業務發展費 has 決算數 480,000 with no appropriated budget."
N04,海工,111,"執行率 is blank (null) on all rows with no budget and on the total/surplus rows (收入合計, 支出合計, 本期稅前餘絀, 所得稅費用, 本期稅後餘絀)."
N04,海工,111,"A red 關防 seal overlaps the heading block of pages 5-9; the black text under it was recovered by isolating the red colour channel, so no figure was lost. All headings and figures fully legible."
N04,海工,111,Note 1 (九) states staffing for two dates (112/7/31: 6 人 / 教保 4 人; 111/7/31: 7 人 / 教保 5 人). The current-period values (112/7/31) were taken.
N04,海工,112,頁面 provenance：逐頁核對既有 p04–p16 頁尾皆為 N04-<頁碼>；因附註超過 p16，僅將本 PDF 的 p17–p24 render 至私有 /tmp/extract_N04_海工_112_attempt01，逐頁頁尾亦均為 N04-<頁碼>。本次採用 p05（資產負債表）、p06（本期收支餘絀表）、p08（餘絀變動）、p09（現金流量）、p10（附註一）、p12（總額入帳政策）、p14–p22（附註三及五）；未批量 render 其他 PDF。
N04,海工,112,"資產負債表依 guide 僅取左側113年7月31日本期欄；items 完整保留本期全部列、附註欄、金額與百分比。所有空白與破折號均為 null，未填0；prepaid_receipts 取負債面的「預收款項」1,488,338，不是資產面的「預付款項」45,000。"
N04,海工,112,收支餘絀表完整保留全部22列及附註、預算、決算、差異與執行率欄。括號數均轉負數；破折號轉null。行政管理費差異欄為破折號，故 variance=null 而非0；未編列預算之科目保持 budget=null。
N04,海工,112,"資產負債驗算：流動資產3,271,040 = 3,226,040 + 45,000；非流動資產4,519,703 = 166,661 + 3,854,000 + 161,339 + 337,703；資產7,790,743 = 3,271,040 + 4,519,703 = 負債6,220,812 + 餘絀1,569,931；餘絀1,569,931 = 累積1,247,706 + 本期322,225。p08亦列本期322,225與期末餘絀1,569,931。"
N04,海工,112,"收支驗算：收入明細決算合計9,031,229；支出明細決算合計8,709,004；差額322,225等於本期稅前及稅後餘絀。收入預算6,409,440、支出預算6,569,832、預算餘絀-160,392亦相符；所有列印執行率均與決算/預算四捨五入一致。"
N04,海工,112,"現金交叉驗證：p09期末現金及約當現金3,226,040 = p05現金及銀行存款3,226,040；p09期初2,706,430 + 本期增加519,610 = 期末3,226,040。"
N04,海工,112,附註一(六)將核定及實際招收總人數合併列示為60名，故 approved_capacity 與 actual_enrolment 均記60；附註一(九)列113/7/31員工7人（教保5人）及112/7/31員工6人（教保4人），本檔取本期7與5。
